,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Lilov,Vladimir,1/8/2022,U20MF,Ref: 1,,,Ref: 2,,,,,,,,,
Lilov,Vladimir,1/8/2022,V50MS,Ref: 1,,,,,,,Ref: 1,Ref: 1,Video: 1,,,
Lilov,Vladimir,1/9/2022,U20MS,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 2,,Assist: 1,,,,
Lilov,Vladimir,1/9/2022,U20WS,Ref: 2,,,,,,,,,,,,
Lilov,Vladimir,1/10/2022,V50WS,,,,,,,,,Ref: 1,Video: 1,Video: 1,,
Lilov,Vladimir,1/10/2022,V70WS,,,,,,,,,,Ref: 1,,,
Lilov,Vladimir,2/18/2022,U20MS,Ref: 1,,,Ref: 3,Ref: 4,,Ref: 2,,,,,,
Lilov,Vladimir,2/19/2022,JTMMS,,,,,,,,Ref: 1,,,,,
Lilov,Vladimir,2/19/2022,U20WS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Lilov,Vladimir,2/20/2022,JTMWS,,,,,,,,Ref: 1,,,,,
Lilov,Vladimir,2/20/2022,U17MS,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 2,Ref: 1,,,,
Lilov,Vladimir,2/21/2022,U17WS,Ref: 2,,,,Ref: 2,,Ref: 1,,Video: 1,,,,
Lilov,Vladimir,3/4/2022,V70MS,Ref: 1,,,,,,,,Ref: 2,Ref: 1  Assist: 1,Video: 1,,
Lilov,Vladimir,3/4/2022,Y10MF,Ref: 1,,,,,,,,,,,,
Lilov,Vladimir,3/5/2022,VETMS,Ref: 1,,,,,,Ref: 1,Ref: 2,,Video: 1,,,
Lilov,Vladimir,3/5/2022,Y14MS,Ref: 2,,,Ref: 2,Ref: 4,,Ref: 2,Ref: 1,,,,,
Lilov,Vladimir,3/6/2022,VETWS,Ref: 1,,,,,,,Ref: 2,Ref: 1,,,,
Lilov,Vladimir,3/6/2022,Y12MS,Ref: 1,,,,Ref: 3,,,,,,,,
Lilov,Vladimir,3/7/2022,V50WS,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1  Assist: 1,Ref: 1,,
Lilov,Vladimir,3/7/2022,V70WS,Ref: 1,,,,,,,,,,,,
Lilov,Vladimir,3/7/2022,Y10MS,Ref: 1,,,,,,,,,,,,
Lilov,Vladimir,4/21/2022,DV1MS,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Lilov,Vladimir,4/21/2022,U19WS,Ref: 2,,,,Ref: 4,,Ref: 2,,Video: 1,,,,
Lilov,Vladimir,4/22/2022,DV1WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Lilov,Vladimir,4/22/2022,U16MS,Ref: 2,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 2,,Video: 1,,Video: 1
Lilov,Vladimir,4/23/2022,U19MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,,,,,
Lilov,Vladimir,4/24/2022,DV2MS,Ref: 1,,,Ref: 1,Ref: 5,,Ref: 4,,,,,,
Lilov,Vladimir,7/2/2022,U19MS,Ref: 2,,,Ref: 3,Ref: 3,, , , , , , , 
Lilov,Vladimir,7/3/2022,U19WS,Ref: 2,,,Ref: 1,Ref: 1,, , ,Video: 1, , , , 
Lilov,Vladimir,7/4/2022,DV1MS,Ref: 1,,, , ,, , ,Video: 1, , , , 
Lilov,Vladimir,7/4/2022,STMWS, ,,, , ,, , ,Ref: 1, , , , 
Lilov,Vladimir,7/5/2022,DV1WS,Ref: 2,,, ,Ref: 2,,Ref: 3,Ref: 1,Video: 1, , , , 
Lilov,Vladimir,7/5/2022,U16MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Lilov,Vladimir,7/6/2022,STMMS, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, ,Ref: 1
Lilov,Vladimir,7/7/2022,V50WS,Ref: 1,,, , ,, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , 
Lilov,Vladimir,7/7/2022,V70WS,Ref: 1,,, , ,, , ,Ref: 1,Ref: 1  Video: 1,Video: 1, ,Video: 1
Lilov,Vladimir,7/8/2022,DV2WS,Ref: 2,,, , ,, , , , , , , 
Lilov,Vladimir,7/8/2022,DV3MS,Ref: 2,,, , ,, , , , , , , 
Lilov,Vladimir,7/9/2022,DV2MS,Ref: 1,,, , ,, , , , , , , 
Lilov,Vladimir,7/10/2022,Y12MS,Ref: 1,,, ,Ref: 2,,Ref: 2, , , , , , 
Lilov,Vladimir,7/11/2022,Y12WS,Ref: 1,,, , ,, , , , , , , 
Linaldi,Alberto,10/29/2021,U17MF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Linaldi,Alberto,10/29/2021,Y14MS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Linaldi,Alberto,10/30/2021,DV1WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 2,Assist: 1,,,,
Linaldi,Alberto,10/30/2021,Y14MF,Ref: 1,,,,Ref: 3,,,Ref: 2,,Ref: 1,,,
Linaldi,Alberto,10/31/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,Assist: 1,,,,
Linaldi,Alberto,10/31/2021,U17WF,Ref: 1,,,,Ref: 4,,Ref: 2,Ref: 1,,,,,
Linaldi,Alberto,11/1/2021,Y14WF,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 2,Ref: 1,,,,
Linaldi,Andres,10/29/2021,U17MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 2,,Assist: 1,Ref: 1,Assist: 1,,
Linaldi,Andres,10/30/2021,DV1WF,Ref: 1,,,,Ref: 1,,,,Assist: 1,,,,
Linaldi,Andres,10/30/2021,Y14MF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 2,,,,,
Linaldi,Andres,10/31/2021,DV1MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,Assist: 1,Assist: 1,,,
Linaldi,Andres,10/31/2021,U17WF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Assist: 1,Ref: 1  Assist: 1,,,
Linaldi,Andres,11/1/2021,Y14WF,Ref: 1,,,,Ref: 2,,Ref: 2,,Ref: 1,,Ref: 1,,
Linaldi,Andres,12/9/2021,DV1MF,Ref: 2,,,Ref: 1,Ref: 2,,,Ref: 1,Video: 1,,,,
Linaldi,Andres,12/10/2021,U17MF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Linaldi,Andres,12/10/2021,U20ME,Ref: 1,,,,,,,,,,,,
Linaldi,Andres,12/11/2021,U20MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Linaldi,Andres,12/11/2021,U20WF,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1  Video: 1,,,,
Linaldi,Andres,12/12/2021,DV1WF,Ref: 2,,,,Ref: 2,,Ref: 3,Ref: 2,Ref: 1,Video: 1,,,
Linaldi,Andres,1/7/2022,DV1MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Linaldi,Andres,1/7/2022,DV1MS,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Linaldi,Andres,1/8/2022,U20MF,Ref: 1,,,,,,,,Video: 1,Video: 1,,,
Linaldi,Andres,1/9/2022,U20WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Video: 1,Ref: 1,,,
Linaldi,Andres,1/10/2022,DV1WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Linaldi,Andres,2/18/2022,U20MS,Ref: 2,,,,,,,,,,,,
Linaldi,Andres,2/18/2022,U20WF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Video: 1,Assist: 1,,
Linaldi,Andres,2/19/2022,JTMWF,,,,,,,,,,Ref: 1,,,
Linaldi,Andres,2/19/2022,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,Assist: 1,Assist: 1,,,
Linaldi,Andres,2/20/2022,U17MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,Assist: 1,Ref: 1,,,
Linaldi,Andres,2/20/2022,U20ME,Ref: 1,,,Ref: 2,Ref: 1,,,Ref: 1,,,,,
Linaldi,Andres,3/4/2022,V40MS,,,,,,,,,,,Ref: 1,,
Linaldi,Andres,3/4/2022,V50MS,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1  Video: 1,Ref: 1,,
Linaldi,Andres,3/4/2022,Y10MF,Ref: 1,,,,,,,,,Assist: 1,Ref: 1,,
Linaldi,Andres,3/5/2022,Y12WF,Ref: 1,,,,Ref: 2,,Ref: 3,Ref: 1,Ref: 1,Video: 1,Assist: 1,,
Linaldi,Andres,3/5/2022,Y14MS,Ref: 1,,,Ref: 2,Ref: 4,,Ref: 1,Ref: 1,,Video: 1,,,
Linaldi,Andres,3/6/2022,Y12MF,,,,,,,,,,Assist: 1,Video: 1,,
Linaldi,Andres,3/6/2022,Y12MS,Ref: 1,,,,Ref: 4,,Ref: 2,,,,,,
Linaldi,Andres,3/6/2022,Y12WS,Ref: 1,,,,,,Ref: 3,Ref: 3,Ref: 1,Video: 1,,,Ref: 1
Linaldi,Andres,3/7/2022,V50WS,,,,,,,,Ref: 2,Ref: 3,Ref: 1  Video: 1,Video: 1,,Video: 1
Linaldi,Andres,3/7/2022,V60WS,Ref: 1,,,,,,,,,Ref: 1  Video: 1,Video: 1,,
Linaldi,Andres,3/7/2022,V70WS,,,,,,,,,,Ref: 1  Video: 1,Video: 1,,Video: 1
Linaldi,Andres,3/7/2022,Y10MS,,,,,,,Ref: 1,Ref: 2,Ref: 1,Video: 1,Video: 1,,
Linaldi,Andres,4/21/2022,DV2WF,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 2,,,,
Linaldi,Andres,4/21/2022,U19ME,,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,,,
Linaldi,Andres,4/21/2022,U19MF,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Linaldi,Andres,4/22/2022,DV1MF,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 2,,,,,
Linaldi,Andres,4/22/2022,DV1WF,Ref: 1,,,,,,Ref: 1,Ref: 1,Ref: 1,,,,
Linaldi,Andres,4/23/2022,U16MF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,
Linaldi,Andres,4/23/2022,U19WF,,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Linaldi,Andres,4/24/2022,U16WF,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,Ref: 1,,,
Linaldi,Andres,4/24/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Linaldi,Andres,7/2/2022,DV1WF,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Linaldi,Andres,7/3/2022,U19MF,Ref: 1,,,Ref: 3,Ref: 3,,Ref: 1, ,Video: 1, , , , 
Linaldi,Andres,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Linaldi,Andres,7/4/2022,U19WF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 2, ,Video: 1, ,Video: 1, , 
Linaldi,Andres,7/5/2022,D1AWF,Ref: 1,,, , ,,Ref: 2,Ref: 1, , , , , 
Linaldi,Andres,7/5/2022,DV1MF,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Linaldi,Andres,7/6/2022,U16MF,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,Video: 1, ,Ref: 1, , 
Linaldi,Andres,7/6/2022,U16WF, ,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Video: 1,Ref: 1, , 
Linaldi,Andres,7/6/2022,V60WF, ,,, , ,, ,Ref: 1,Ref: 2, , , , 
Linaldi,Andres,7/7/2022,DV3WF, ,,, ,Ref: 2,,Ref: 2,Ref: 1,Ref: 1, , , , 
Linaldi,Andres,7/7/2022,V60MF,Ref: 1,,, , ,, ,Ref: 3,Video: 1,Ref: 1  Video: 1,Video: 1, ,Ref: 1
Linaldi,Andres,7/7/2022,V80MF, ,,, , ,, , , , , , ,Video: 1
Linaldi,Andres,7/8/2022,DV3MF,Ref: 1,,, ,Ref: 2,,Ref: 1, , ,Ref: 1, , , 
Linaldi,Andres,7/8/2022,Y14WF,Ref: 1,,, , ,, , , , ,Video: 1, , 
Linaldi,Andres,7/9/2022,DV2WF,Ref: 1,,, ,Ref: 1,, , , ,Ref: 1, , , 
Linaldi,Andres,7/9/2022,Y14MF,Ref: 1,,,Ref: 2,Ref: 1,, ,Ref: 1,Ref: 1, , , , 
Linaldi,Andres,7/10/2022,DV2MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Linaldi,Andres,7/10/2022,Y10MF,Ref: 1,,, ,Ref: 2,,Ref: 2,Ref: 1, , , , , 
Linaldi,Andres,7/11/2022,Y10WF,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1,Ref: 2,Video: 1,Video: 1, , 
Linetsky,Leonid,10/29/2021,Y14ME,Ref: 1,,,,Ref: 1,,Ref: 2,,,Ref: 1,,,Assist: 1
Linetsky,Leonid,10/30/2021,U17ME,Ref: 1,,,,Ref: 3,,Ref: 1,,Assist: 1,,,,
Linetsky,Leonid,10/31/2021,U17MS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1,,,,,
Linetsky,Leonid,10/31/2021,U17WE,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Linetsky,Leonid,11/1/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Linetsky,Leonid,11/1/2021,Y14WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Linetsky,Leonid,1/7/2022,DV1MS,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Linetsky,Leonid,1/7/2022,DV1WS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Linetsky,Leonid,1/8/2022,U20MF,Ref: 1,,,Ref: 1,,,,,,,,,
Linetsky,Leonid,1/8/2022,V40WF,,,,,,,,,,,Ref: 1  Video: 1,,Assist: 1
Linetsky,Leonid,1/8/2022,V50WF,,,,,,,,,,Ref: 1  Video: 1,Assist: 1,,
Linetsky,Leonid,1/8/2022,V70WF,Ref: 1,,,,,,,,,,Ref: 1  Video: 1,,Assist: 1
Linetsky,Leonid,1/9/2022,DV1ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Linetsky,Leonid,1/9/2022,U20MS,Ref: 2,,,Ref: 1,Ref: 3,,,Ref: 1,Ref: 1,,,,
Linetsky,Leonid,1/10/2022,V50WS,,,,,,,,,Ref: 1,Video: 1,,,
Linetsky,Leonid,1/10/2022,V60WS,,,,,,,,,,Video: 1,,,
Linetsky,Leonid,1/10/2022,V80ME,,,,,,,,,,,Assist: 1,,
Linetsky,Leonid,3/4/2022,V40MS,,,,,,,,,,,Video: 1,,
Linetsky,Leonid,3/4/2022,V50MS,Ref: 1,,,,,,,,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,
Linetsky,Leonid,3/4/2022,Y14ME,Ref: 1,,,Ref: 2,Ref: 2,,,,,,,,
Linetsky,Leonid,3/5/2022,Y10WS,Ref: 1,,,,,,,Ref: 2,Ref: 1,Ref: 1,,,Video: 1
Linetsky,Leonid,3/5/2022,Y14MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 1,Ref: 1,,,,,
Linetsky,Leonid,3/6/2022,Y12MS,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Linetsky,Leonid,3/6/2022,Y12WS,Ref: 1,,,,Ref: 1,,Ref: 3,Ref: 1,,Ref: 1  Assist: 1,Assist: 1,,
Linetsky,Leonid,3/7/2022,Y14WS,Ref: 2,,,,Ref: 8,,Ref: 3,Ref: 1,Ref: 1,,,,Ref: 1
Linetsky,Leonid,7/4/2022,STMWS, ,,, , ,, , , ,Ref: 1,Ref: 1,Ref: 1, 
Linetsky,Leonid,7/5/2022,U16MS,Ref: 2,,,Ref: 2,Ref: 2,, , , , , , , 
Linetsky,Leonid,7/5/2022,V70MS,Ref: 1,,, , ,, , ,Ref: 1,Ref: 2,Ref: 1, ,Ref: 1
Linetsky,Leonid,7/6/2022,STMMS, ,,, , ,, , ,Ref: 1,Ref: 1, , , 
Linetsky,Leonid,7/6/2022,U16MF,Ref: 1,,, , ,, , , , , , , 
Linetsky,Leonid,7/6/2022,U16WS, ,,,Ref: 1,Ref: 3,,Ref: 2,Ref: 1, , , , , 
Linetsky,Leonid,7/7/2022,D1AWS,Ref: 1,,, , ,,Ref: 2, , , , , , 
Linetsky,Leonid,7/7/2022,Y14MS,Ref: 2,,, ,Ref: 3,,Ref: 3, , , , , , 
Linetsky,Leonid,7/8/2022,DV2WS,Ref: 2,,, ,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Linetsky,Leonid,7/8/2022,DV3MS,Ref: 2,,, ,Ref: 4,,Ref: 3,Ref: 1,Ref: 1, , , , 
Linetsky,Leonid,7/9/2022,DV2MS,Ref: 2,,, , ,, , , , , , , 
Linetsky,Leonid,7/10/2022,DV3WS,Ref: 2,,, ,Ref: 1,,Ref: 1, , , , , , 
Linetsky,Leonid,7/10/2022,Y10MF, ,,, , ,,Ref: 1, , , , , , 
Linnik,Pavel,10/29/2021,Y14ME,,,,,Ref: 1,,Ref: 1,,,,,,
Linnik,Pavel,10/29/2021,Y14MS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Linnik,Pavel,10/30/2021,DV1MS,Ref: 2,,,,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Ref: 1  Assist: 1,,,
Linnik,Pavel,10/30/2021,Y14WS,,,,,,,Ref: 3,Ref: 1,Ref: 1,Assist: 1,,,
Linnik,Pavel,10/31/2021,DV1WS,Ref: 2,,,,Ref: 2,,Ref: 3,Ref: 1,Video: 1  Assist: 1,,,,
Linnik,Pavel,10/31/2021,U17MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,,,,,
Linnik,Pavel,11/1/2021,U17WS,Ref: 2,,,,Ref: 4,,Ref: 3,Ref: 1,Video: 1,Assist: 1,,,
Linnik,Pavel,1/7/2022,DV1MS,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,,Ref: 1,,,
Linnik,Pavel,1/7/2022,DV1WS,Ref: 2,,,,Ref: 3,,Ref: 2,,Assist: 2,,,,
Linnik,Pavel,1/8/2022,DV1WE,Ref: 1,,,,Ref: 3,,,Ref: 1,Assist: 1,,,,
Linnik,Pavel,1/8/2022,V60MS,,,,,,,,,Ref: 1,Ref: 1  Video: 1,Ref: 1,,
Linnik,Pavel,1/9/2022,DV1ME,Ref: 1,,,,Ref: 2,,,,,,,,
Linnik,Pavel,1/9/2022,U20MS,Ref: 2,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Linnik,Pavel,1/10/2022,V60WS,Ref: 1,,,,,,,,Ref: 1,Ref: 1,,,
Linnik,Pavel,1/10/2022,V70WS,,,,,,,,,,Video: 1,Assist: 1,,
Linnik,Pavel,7/3/2022,D1AMS,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Linnik,Pavel,7/3/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1, , , , , , 
Linnik,Pavel,7/4/2022,DV1MS,Ref: 2,,, ,Ref: 2,,Ref: 2, , , , , , 
Linnik,Pavel,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1, , , , , , 
Linnik,Pavel,7/6/2022,STMMS, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1, 
Linnik,Pavel,7/6/2022,U16ME,Ref: 1,,,Ref: 1, ,, , , , , , , 
Linnik,Pavel,7/7/2022,D1AWS,Ref: 1,,, , ,,Ref: 2, ,Ref: 1, , , , 
Linnik,Pavel,7/7/2022,V70WS, ,,, , ,, , , ,Ref: 1  Video: 1, , , 
Linnik,Pavel,7/7/2022,Y14MS,Ref: 2,,,Ref: 3,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Ref: 1, , , 
Linnik,Pavel,7/8/2022,DV2WS,Ref: 2,,, ,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Linnik,Pavel,7/8/2022,DV3MS,Ref: 2,,, ,Ref: 4,,Ref: 2,Ref: 1,Ref: 1, ,Ref: 1, , 
Lipkovitz,Rivka,1/8/2022,U20ME,Ref: 1,,,Ref: 2,,,,,Assist: 1,,,,
Lipkovitz,Rivka,1/8/2022,U20MF,Ref: 1,,,Ref: 1,,,,,,,,,
Lipkovitz,Rivka,1/9/2022,V60MF,Ref: 1,,,,,,,Ref: 1,Ref: 2,Ref: 1  Video: 1,Ref: 1,,
Lipkovitz,Rivka,2/19/2022,U17MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Lipkovitz,Rivka,2/19/2022,U20WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Lipkovitz,Rivka,2/20/2022,U20ME,Ref: 1,,,,Ref: 2,,,,,,,,
Lipkovitz,Rivka,2/21/2022,U20MF,Ref: 2,,,Ref: 4,Ref: 3,,,,,,,,
Lipkovitz,Rivka,7/3/2022,STMWF, ,,, , ,, , ,Ref: 1,Ref: 1, , , 
Lipkovitz,Rivka,7/3/2022,U19MF,Ref: 1,,, , ,, , , , , , , 
Lipkovitz,Rivka,7/4/2022,U19ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1, , , , , , 
Lipkovitz,Rivka,7/5/2022,D1AWF,Ref: 1,,, , ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Lipkovitz,Rivka,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Lipkovitz,Rivka,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Lipkovitz,Rivka,7/10/2022,Y12WF,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1, ,Ref: 1, , , 
Littmann,Jane,10/29/2021,DV1WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Littmann,Jane,10/29/2021,Y14ME,Ref: 1,,,,Ref: 2,,,,Ref: 1,,,,
Littmann,Jane,10/30/2021,U17ME,Ref: 1,,,Ref: 1,Ref: 3,,Video: 1,,Assist: 1,Video: 1,Ref: 1,,Assist: 1
Littmann,Jane,10/31/2021,U17WE,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Littmann,Jane,11/1/2021,DV1ME,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,
Littmann,Jane,11/1/2021,Y14WE,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,Video: 1,,,
Littmann,Jane,12/9/2021,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,,,,,,
Littmann,Jane,12/9/2021,U17WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Littmann,Jane,12/10/2021,DV1WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Littmann,Jane,12/10/2021,U20ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,,,
Littmann,Jane,12/11/2021,U20WE,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,,
Littmann,Jane,12/12/2021,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 2,Ref: 1,,Ref: 1,,,,,
Liu,Angel,7/2/2022,D1AWE,Ref: 1,,, ,Ref: 1,,Ref: 1, ,Ref: 1, , , , 
Liu,Angel,7/3/2022,U19MF,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Liu,Angel,7/3/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1, , , , , , 
Liu,Angel,7/5/2022,D1AWF,Ref: 1,,, , ,,Ref: 2,Ref: 1, , , , , 
Liu,Angel,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Liu,Angel,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Liu,Angel,7/9/2022,DV2WF,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Liu,Angel,7/9/2022,Y14MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Liu,Yizhe,3/4/2022,Y14ME,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,Ref: 1,,Ref: 1,,,
Liu,Yizhe,3/4/2022,Y14WE,Ref: 1,,,,Ref: 4,,Ref: 2,Ref: 1,Ref: 1,,,,
Liu,Yizhe,3/5/2022,Y12WE,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 2,Ref: 1,Video: 1,Assist: 1,,Ref: 1
Liu,Yizhe,3/6/2022,Y12MS,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Liu,Yizhe,3/6/2022,Y12WS,Ref: 1,,,,Ref: 1,,Ref: 3,,Ref: 1,Assist: 1,,,
Liu,Yizhe,3/7/2022,Y10MS,Ref: 1,,,,,,,,,Video: 1,Assist: 1,,Assist: 1
Liu,Yizhe,3/7/2022,Y14WS,Ref: 2,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Liu,Yizhe,7/2/2022,D1AWE,Ref: 1,,, ,Ref: 1,, , , , , , , 
Liu,Yizhe,7/2/2022,DV1ME,Ref: 1,,, ,Ref: 2,, , , , , , , 
Liu,Yizhe,7/3/2022,D1AMS,Ref: 1,,, , ,,Ref: 1, , , , , , 
Liu,Yizhe,7/3/2022,U19MF, ,,,Ref: 2,Ref: 1,, , , , , , , 
Liu,Yizhe,7/3/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 2,, , , , , , , 
Liu,Yizhe,7/4/2022,DV1WE,Ref: 1,,, ,Ref: 1,,Ref: 2, ,Ref: 1, , , , 
Liu,Yizhe,7/4/2022,U19ME,Ref: 1,,,Ref: 2, ,,Ref: 1, , , , , , 
Liu,Yizhe,7/5/2022,D1AME,Ref: 1,,, ,Ref: 3,, , , , , , , 
Liu,Yizhe,7/6/2022,STMMS, ,,, , ,, , ,Ref: 1, , , , 
Liu,Yizhe,7/6/2022,U16ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Liu,Yizhe,7/6/2022,U16WS, ,,,Ref: 1,Ref: 4,,Ref: 3, , , , , , 
Liu,Yizhe,7/7/2022,DV2ME,Ref: 1,,,Ref: 2, ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Liu,Yizhe,7/7/2022,Y14WE,Ref: 2,,,Ref: 2, ,,Ref: 2, , , , , , 
Liu,Yizhe,7/10/2022,DV2MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1, , , , , 
